id,gid,x,y,v_x,v_y,radius,time
13,0,7.841010,0.208238,-1.306063,-0.072955,0.200000,0.900000
14,0,5.791292,-0.364456,-1.126455,-0.002004,0.200000,0.900000
15,0,12.659450,1.040159,-1.287910,0.064504,0.200000,0.900000
16,0,5.344879,0.175943,-1.345181,0.294704,0.200000,0.900000
17,0,5.739012,0.844827,-1.171918,0.042007,0.200000,0.900000
18,0,8.427918,-0.468712,-1.212293,-0.092486,0.200000,0.900000
19,0,6.521191,-0.859228,-1.275377,0.006516,0.200000,0.900000
20,1,7.074152,6.870065,-0.268918,-1.177911,0.200000,0.900000
21,1,8.097074,-5.315792,-0.121770,-1.402414,0.200000,0.900000
22,1,7.267604,1.488730,0.461092,-0.926526,0.200000,0.900000
23,1,8.858554,-4.030391,-0.329912,-1.355160,0.200000,0.900000
24,1,5.393241,4.454621,0.120418,-1.130574,0.200000,0.900000
25,1,8.255208,-3.059265,-0.131265,-1.272873,0.200000,0.900000
26,1,6.834682,5.641176,-0.001081,-1.222359,0.200000,0.900000
27,1,4.800930,0.484218,-0.960440,-0.995761,0.200000,0.900000
28,1,4.959981,2.152032,0.109053,-1.337902,0.200000,0.900000
29,1,4.714732,-0.041073,-0.082088,-0.996023,0.200000,0.900000
30,1,7.605505,2.346603,-0.047999,-1.344076,0.200000,0.900000
31,1,7.194796,-5.264046,0.047922,-1.132306,0.200000,0.900000
32,1,5.851135,1.376526,0.278828,-1.164526,0.200000,0.900000
33,1,7.942977,4.367118,-0.097677,-1.323312,0.200000,0.900000
34,1,4.956813,5.716729,0.034673,-1.184396,0.200000,0.900000
35,1,9.008267,2.762011,-0.209243,-1.243822,0.200000,0.900000
36,1,6.237765,3.286019,0.150994,-1.215724,0.200000,0.900000
37,1,8.365339,2.744217,-0.230119,-1.383964,0.200000,0.900000
38,1,9.035656,3.850268,-0.208155,-1.265622,0.200000,0.900000
39,1,6.779756,8.098126,0.012924,-1.266956,0.200000,0.900000
0,0,9.074382,0.206745,-1.205715,-0.087693,0.200000,1.000000
1,0,11.367374,0.546030,-1.396938,0.019181,0.200000,1.000000
2,0,6.454563,-0.260013,-1.084468,-0.162139,0.200000,1.000000
3,0,5.693268,-0.820372,-1.320314,-0.002824,0.200000,1.000000
4,0,7.682154,0.662357,-1.254359,0.001181,0.200000,1.000000
5,0,4.934028,-0.490574,-0.251423,-1.210442,0.200000,1.000000
6,0,12.700179,-1.136404,-1.333158,-0.091600,0.200000,1.000000
7,0,9.843272,-0.149469,-1.335500,0.065170,0.200000,1.000000
8,0,12.240085,-0.553274,-1.361318,-0.065645,0.200000,1.000000
9,0,7.185158,-0.106066,-1.285051,0.004136,0.200000,1.000000
10,0,6.005130,0.231076,-1.300033,0.018873,0.200000,1.000000
11,0,13.748613,-0.550838,-1.353962,-0.009339,0.200000,1.000000
12,0,12.354681,0.544829,-1.355820,0.020104,0.200000,1.000000
13,0,7.721912,0.190340,-1.190976,-0.178985,0.200000,1.000000
14,0,5.674800,-0.345665,-1.164926,0.187917,0.200000,1.000000
15,0,12.534792,1.038556,-1.246580,-0.016036,0.200000,1.000000
16,0,5.234408,0.181247,-1.104713,0.053039,0.200000,1.000000
17,0,5.610424,0.845738,-1.285885,0.009111,0.200000,1.000000
18,0,8.300742,-0.474026,-1.271757,-0.053148,0.200000,1.000000
19,0,6.411734,-0.846163,-1.094574,0.130649,0.200000,1.000000
20,1,7.041748,6.750427,-0.324034,-1.196382,0.200000,1.000000
21,1,8.084953,-5.442643,-0.121208,-1.268515,0.200000,1.000000
22,1,7.307711,1.392804,0.401071,-0.959263,0.200000,1.000000
23,1,8.814332,-4.153397,-0.442212,-1.230061,0.200000,1.000000
24,1,5.392442,4.336129,-0.007985,-1.184916,0.200000,1.000000
25,1,8.233681,-3.182272,-0.215275,-1.230068,0.200000,1.000000
